ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
2945,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,1,,,,
2946,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,2,,,,
2947,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,3,,,,
3036,simple,,Marketing With A Purpose,1,0,visible,,"This is an example of a WooCommerce product. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse quis mollis eros, et posuere ipsum. Vestibulum id turpis viverra, rhoncus ipsum sed, pulvinar lacus. Morbi sit amet faucibus arcu, at pulvinar turpis. Nulla ut tellus efficitur, condimentum eros vel, gravida felis. Maecenas ornare, sem a malesuada faucibus, arcu sapien pulvinar nulla, a tincidunt lorem nulla vitae neque. Aliquam eleifend est a bibendum porta. Donec magna felis, mattis a sollicitudin vulputate, venenatis et enim. Aenean luctus vitae ex in sagittis. Etiam eu dui fermentum, ultrices dolor nec, iaculis ipsum. Aenean placerat gravida tellus, eu pretium arcu tincidunt quis.",,,taxable,,1,,,0,0,,,,,0,,,19.99,Guides,,,https://demo.coaching-pro.thebrandid.com/wp-content/uploads/2021/11/demo-woo-product-6.jpg,,,,,,,,,0,,,,
3037,simple,,Work With Your Strengths Workbook,1,0,visible,,"This is an example of a WooCommerce product. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc in pulvinar neque, a auctor ante. Aenean iaculis non velit nec congue. Donec porttitor luctus libero, quis rhoncus lacus finibus mattis. Aenean bibendum mi at maximus porttitor. Donec justo augue, scelerisque vitae volutpat malesuada, varius tempus mauris. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus auctor ligula vitae feugiat accumsan. Nam non sagittis magna.",,,taxable,,1,,,0,0,,,,,0,,,14.99,Workbooks,,,https://demo.coaching-pro.thebrandid.com/wp-content/uploads/2021/11/demo-woo-product-8.jpg,,,,,,,,,0,,,,
3038,simple,,Leadership Planning Guide,1,0,visible,,"This is an example of a WooCommerce product. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut rutrum, lorem a tincidunt vulputate, libero lacus tempor ligula, mollis convallis elit dui lobortis odio. Nullam lobortis dolor risus, quis sagittis eros consequat vel. Quisque feugiat, leo ac vehicula iaculis, velit enim suscipit arcu, sed pretium elit orci eu erat. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque nec nisl ac orci pharetra dictum in nec diam. Donec ac arcu facilisis, ultrices tortor efficitur, sagittis dolor. Mauris finibus maximus fringilla. Mauris faucibus maximus ante, aliquet tincidunt libero ultrices eu.",,,taxable,,1,,,0,0,,,,,0,,,19.99,Guides,,,https://demo.coaching-pro.thebrandid.com/wp-content/uploads/2021/11/demo-woo-product-4.jpg,,,,,,,,,0,,,,
3039,simple,,Professional Leadership Plan,1,0,visible,,"This is an example of a WooCommerce product. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus rhoncus, sapien sed bibendum pulvinar, quam urna lacinia nunc, nec lobortis nunc ligula vel justo. Vestibulum eu tristique justo. Sed non urna ac elit vestibulum mollis. Etiam vehicula mi nec venenatis ultrices. Vivamus porta libero sem, nec facilisis erat gravida ut. Quisque hendrerit elit et urna scelerisque fringilla. Curabitur consequat nibh nisi, quis suscipit libero sollicitudin nec. Vestibulum a imperdiet nisl. Vivamus venenatis sit amet quam in mattis. Morbi dolor magna, lacinia sit amet ullamcorper in, euismod a urna. Morbi nibh lorem, consectetur et nibh vel, pretium auctor neque. Curabitur nec pellentesque erat. Nulla suscipit turpis vitae leo ultricies aliquet.",,,taxable,,1,,,0,0,,,,,0,,,14.99,Guides,,,https://demo.coaching-pro.thebrandid.com/wp-content/uploads/2021/11/demo-woo-product-7.jpg,,,,,,,,,0,,,,
3040,simple,,Coaching Assessment Toolkit,1,0,visible,,"This is an example of a WooCommerce product. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vitae rutrum magna, in mattis nulla. Fusce ac urna et lorem elementum blandit. Vestibulum laoreet ex nec neque luctus, vitae dictum lacus interdum. Maecenas vel facilisis urna, non semper massa. Nulla semper sem sapien, ac lacinia tortor lobortis ut. Suspendisse potenti. Suspendisse quis feugiat dui, et fringilla dui. Praesent eu nisi sapien. Vestibulum posuere sapien hendrerit, iaculis ante ut, lacinia dui. Nullam ultrices ipsum laoreet lacus congue, eget sollicitudin massa tincidunt.",,,taxable,,1,,,0,0,,,,,0,,,29.99,"Downloads, Workbooks",,,https://demo.coaching-pro.thebrandid.com/wp-content/uploads/2021/11/demo-woo-product-2.jpg,,,,,,,,,0,,,,
3041,simple,,Lock In Your Purpose & Values Workbook,1,0,visible,,"This is an example of a WooCommerce product. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse vulputate, diam et sodales sodales, nisi libero cursus diam, at ornare dolor ligula vitae lorem. Etiam dignissim sit amet quam quis hendrerit. Nulla a molestie est. Aenean congue tempus nisi. Morbi vehicula nibh ligula, a iaculis velit consectetur ac. Aliquam vestibulum, turpis vitae euismod suscipit, odio tellus accumsan nisi, sit amet congue nunc urna sed nisl. Etiam et bibendum nisi. Nullam ut est gravida, imperdiet ex at, suscipit felis.",,,taxable,,1,,,0,0,,,,,0,,,19.99,Workbooks,,,https://demo.coaching-pro.thebrandid.com/wp-content/uploads/2021/11/demo-woo-product-5.jpg,,,,,,,,,0,,,,
3042,variable,,Chart Your Business Path Bundle,1,0,visible,,"This is an example of a WooCommerce variable product. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas aliquam, sem ut aliquam facilisis, augue elit cursus ante, eget cursus nisi odio nec dui. Nunc dictum enim ac justo posuere, vitae porta sem auctor. Duis sit amet purus vel nisl mollis commodo. Morbi interdum nisl a sem sagittis, in sollicitudin elit ultrices. Integer hendrerit eu ex at pharetra. In at feugiat nisl. Proin interdum quis justo et fermentum. Pellentesque consequat ultricies turpis, quis eleifend sapien efficitur ut.",,,taxable,,1,,,0,0,,,,,0,,,,"Guides, Workbooks",,,https://demo.coaching-pro.thebrandid.com/wp-content/uploads/2021/11/demo-woo-product-1.jpg,,,,,,,,,0,Bundle Options,"With Workbook, Without Workbook",1,0
